furniture,type,rate,delivery,sale,price
Bed side table with storage shelf ,Home Decor Center,3.3,172.14,72%,2500
Bed side table with storage shelf ,Modern Home,0,172.14,54%,1200
Modern Zigzag TV Table ,Modern Home,0,172.14,18%,1099
Bedside table with storage shelf ,Modern Home,0,172.14,58%,1200
Wall Mounted TV Unit with Cabinet TV Stand Unit with Shelves for Living Room (Brown with White),Modern Home,5,52.44,54%,1400
Modern Home Modern Tv Table - Black Oak,Modern Home Modern Tv Table   Black Oak,4.3,172.14,58%,2000
Modern desk with side shelves ,Modern Home,4.1,52.44,53%,2000
Modern TV table ,Modern Home,4,172.14,68%,2000
Side table with removable tray,Modern Home,0,172.14,0%,900
Modern Zigzag TV Table ,Modern Home,0,172.14,18%,1099
Modern side table ,Modern Home,0,172.14,41%,1600
Modern Home Modern Table -  80*45*30cm - Light Brown,Modern Home Modern Table            cm   Light Brown,4.6,172.14,28%,900
Contemporary table ,Modern Home,4.3,172.14,28%,900
cm TV table,Modern Home,0,172.14,68%,3000
Modern Zigzag TV Table ,Modern Home,0,172.14,18%,1099
Modern TV and coffee table ,Modern Home,4.3,172.14,53%,2000
Sarcomisr Manager Medical Office Chair - Black & White ,Sarcomisr Manager Medical Office Chair   Black   White,3.9,52.44,16%,1600
Rattan Folding Table - Biege,Rattan Folding Table   Biege,4.8,52.44,43%,350
Modern Zigzag TV Table ,Modern Home,0,172.14,18%,1099
"A unit for books, decorations and accessories with multiple shelves ",Modern Home,4.1,52.44,25%,1000
"Storage unit with shelves for books, decoration and accessories with cabinet _ white_",Modern Home                                                                 W,4.3,52.44,15%,2000
Medium coffee table ,Modern Home,3.8,172.14,56%,1800
Bed side table with storage shelf ,General,0,172.14,0%,1000
"Home Gallery TV unit made of natural wood, beige",Modern Home,0,172.14,17%,3948
Green black TV unit,Sarcomisr,0,172.14,20%,2500
tv covers Protector,tv covers Protector,0,327.91,29%,589
Modern TV table ,Gad Woods,0,172.14,50%,1300
Contemporary table ,Modern Home,4.3,172.14,50%,1400
One TV from the first Lajshra,Modern Home,0,172.14,0%,5000
